,id,PredictionString
115,19a57af80883_study,negative 1 0 0 1 1
116,19b12e65a279_study,negative 1 0 0 1 1
117,19b85f5e7b8c_study,negative 1 0 0 1 1
118,19b9a8cb7587_study,negative 1 0 0 1 1
119,19c66935e737_study,negative 1 0 0 1 1
120,1a066eb95115_study,negative 1 0 0 1 1
121,1a3ded50a43c_study,negative 1 0 0 1 1
122,1a59ea3cecd6_study,negative 1 0 0 1 1
123,1a77f709c788_study,negative 1 0 0 1 1
124,1a9c5c2f7e59_study,negative 1 0 0 1 1
125,1a9f44aee665_study,negative 1 0 0 1 1
126,1aa3bb040531_study,negative 1 0 0 1 1
127,1ae25872bc71_study,negative 1 0 0 1 1
128,1ae711bf2282_study,negative 1 0 0 1 1
129,1b11175dece3_study,negative 1 0 0 1 1
130,1b196a72b78e_study,negative 1 0 0 1 1
131,1b2461a133fe_study,negative 1 0 0 1 1
132,1b318f080b44_study,negative 1 0 0 1 1
133,1b59d0b0ce5e_study,negative 1 0 0 1 1
134,1b7084d11c83_study,negative 1 0 0 1 1
135,1b742fd5cbb8_study,negative 1 0 0 1 1
136,1ba7f3f733ef_study,negative 1 0 0 1 1
137,1bc28a510f3f_study,negative 1 0 0 1 1
138,1be8a02fd932_study,negative 1 0 0 1 1
139,1c57d288256c_study,negative 1 0 0 1 1
140,1c68665f6172_study,negative 1 0 0 1 1
141,1c716d133c0c_study,negative 1 0 0 1 1
142,1c9e697113ad_study,negative 1 0 0 1 1
143,1cc565a82e77_study,negative 1 0 0 1 1
144,1d1ad3db8061_study,negative 1 0 0 1 1
145,1d2ad8808b78_study,negative 1 0 0 1 1
146,1d35f2fd66d3_study,negative 1 0 0 1 1
147,1d3a22017cc8_study,negative 1 0 0 1 1
148,1d4a182c0628_study,negative 1 0 0 1 1
149,1d4d06e6949b_study,negative 1 0 0 1 1
150,1d54c8a15099_study,negative 1 0 0 1 1
151,1d7b78acc1ff_study,negative 1 0 0 1 1
152,1d8b4a15135f_study,negative 1 0 0 1 1
153,1dd2fb2d3f1e_study,negative 1 0 0 1 1
154,1de50b53d3ed_study,negative 1 0 0 1 1
155,1df9ecb29c1d_study,negative 1 0 0 1 1
156,1e3602b92e0e_study,negative 1 0 0 1 1
157,1e4038367823_study,negative 1 0 0 1 1
158,1ea213ae57bd_study,negative 1 0 0 1 1
159,1ebfe0b61513_study,negative 1 0 0 1 1
160,1ecac8a297f4_study,negative 1 0 0 1 1
161,1ee21b7aa650_study,negative 1 0 0 1 1
162,1ee9fcb22c59_study,negative 1 0 0 1 1
163,1f19df99fff0_study,negative 1 0 0 1 1
164,1f816ad2d311_study,negative 1 0 0 1 1
165,1facfeaad22f_study,negative 1 0 0 1 1
166,1fc194fcbdb4_study,negative 1 0 0 1 1
167,201cb653921c_study,negative 1 0 0 1 1
168,2020aec5ec84_study,negative 1 0 0 1 1
169,203e5f34c76c_study,negative 1 0 0 1 1
170,204153b77776_study,negative 1 0 0 1 1
171,2052c5acf159_study,negative 1 0 0 1 1
172,2099b41c14a9_study,negative 1 0 0 1 1
173,20d3b1fee58f_study,negative 1 0 0 1 1
174,20d832153c0e_study,negative 1 0 0 1 1
175,20ead06f3576_study,negative 1 0 0 1 1
176,21119216b217_study,negative 1 0 0 1 1
177,21367720ba0e_study,negative 1 0 0 1 1
178,215d5a459a13_study,negative 1 0 0 1 1
179,2169cfeca358_study,negative 1 0 0 1 1
180,21c33e128420_study,negative 1 0 0 1 1
181,21da4a896482_study,negative 1 0 0 1 1
182,221ee7b67fc0_study,negative 1 0 0 1 1
183,22c53dd77858_study,negative 1 0 0 1 1
184,22d153d9e949_study,negative 1 0 0 1 1
185,2326c314794c_study,negative 1 0 0 1 1
186,234254cd1e73_study,negative 1 0 0 1 1
187,23847f6a41a6_study,negative 1 0 0 1 1
188,240db28d224f_study,negative 1 0 0 1 1
189,241f7cd77858_study,negative 1 0 0 1 1
190,24295591e074_study,negative 1 0 0 1 1
191,243d12d1a64b_study,negative 1 0 0 1 1
192,243e05e85c45_study,negative 1 0 0 1 1
193,2478cdc439fa_study,negative 1 0 0 1 1
194,250c0435c86c_study,negative 1 0 0 1 1
195,2557cbfb0677_study,negative 1 0 0 1 1
196,2558bb1ba493_study,negative 1 0 0 1 1
197,2638265181c6_study,negative 1 0 0 1 1
198,26c724e30c27_study,negative 1 0 0 1 1
199,26f0f7350e8a_study,negative 1 0 0 1 1
200,272c8b46d39d_study,negative 1 0 0 1 1
201,27387026e831_study,negative 1 0 0 1 1
202,2767827cedc2_study,negative 1 0 0 1 1
203,279348dd03ec_study,negative 1 0 0 1 1
204,2800a1cd98b3_study,negative 1 0 0 1 1
205,28156ad1b4cc_study,negative 1 0 0 1 1
206,283a0639fb59_study,negative 1 0 0 1 1
207,286d4c0fe851_study,negative 1 0 0 1 1
208,290e8b4dcae6_study,negative 1 0 0 1 1
209,299e6030efab_study,negative 1 0 0 1 1
210,29c547a00bbb_study,negative 1 0 0 1 1
211,2a1a15f7fe7b_study,negative 1 0 0 1 1
212,2a337009e493_study,negative 1 0 0 1 1
213,2a72cf9ac79a_study,negative 1 0 0 1 1
214,2a8a7f025b25_study,negative 1 0 0 1 1
215,2ad7c6c0c11b_study,negative 1 0 0 1 1
216,2aedd31c2d4f_study,negative 1 0 0 1 1
217,2affce8b4145_study,negative 1 0 0 1 1
218,2b0e4071bd4a_study,negative 1 0 0 1 1
219,2b27117c51f8_study,negative 1 0 0 1 1
220,2b48f1114500_study,negative 1 0 0 1 1
221,2b53afb41e35_study,negative 1 0 0 1 1
222,2b8321bcf4b9_study,negative 1 0 0 1 1
223,2b8f261c9123_study,negative 1 0 0 1 1
224,2b998af7ca8b_study,negative 1 0 0 1 1
225,2b9ad8c6a010_study,negative 1 0 0 1 1
226,2be4b695bf05_study,negative 1 0 0 1 1
227,2c0138f0333f_study,negative 1 0 0 1 1
228,2c12e56b6ef5_study,negative 1 0 0 1 1
229,2c309f472123_study,negative 1 0 0 1 1
230,2c4e544780bd_study,negative 1 0 0 1 1
231,2c7ef4281f3e_study,negative 1 0 0 1 1
232,2ca4713ccd6d_study,negative 1 0 0 1 1
233,2cc5979920c6_study,negative 1 0 0 1 1
234,2cd7576844db_study,negative 1 0 0 1 1
235,2cfddd82d536_study,negative 1 0 0 1 1
236,2d2e8475f384_study,negative 1 0 0 1 1
237,2d5241612c2e_study,negative 1 0 0 1 1
238,2d61c98874b9_study,negative 1 0 0 1 1
239,2d673cbacf8e_study,negative 1 0 0 1 1
240,2d9814778fe6_study,negative 1 0 0 1 1
241,2de1b57b78a5_study,negative 1 0 0 1 1
242,2e3ae25addcc_study,negative 1 0 0 1 1
243,2e625aa9c04f_study,negative 1 0 0 1 1
244,2ea214f65500_study,negative 1 0 0 1 1
245,2eb19ca07152_study,negative 1 0 0 1 1
246,2ebd6459c760_study,negative 1 0 0 1 1
247,2ecc8e52fed2_study,negative 1 0 0 1 1
248,2f26247d5fa4_study,negative 1 0 0 1 1
249,2f45d8909a99_study,negative 1 0 0 1 1
250,2f6093195a01_study,negative 1 0 0 1 1
251,2f8d9f7afedb_study,negative 1 0 0 1 1
252,2f92655213ca_study,negative 1 0 0 1 1
253,2f9c9ca1ff98_study,negative 1 0 0 1 1
254,2fb11712bc93_study,negative 1 0 0 1 1
255,2fc50bf199cd_study,negative 1 0 0 1 1
256,2ffd833491b2_study,negative 1 0 0 1 1
257,302ff5bcbcf7_study,negative 1 0 0 1 1
258,30398bf8373c_study,negative 1 0 0 1 1
259,30ba38332bd6_study,negative 1 0 0 1 1
260,31126c3051c9_study,negative 1 0 0 1 1
261,313494ee0897_study,negative 1 0 0 1 1
262,315b599c0470_study,negative 1 0 0 1 1
263,3197b5b1d2bf_study,negative 1 0 0 1 1
264,31f14fb6667d_study,negative 1 0 0 1 1
265,32699739f719_study,negative 1 0 0 1 1
266,326cdf61e601_study,negative 1 0 0 1 1
267,32cd00648c62_study,negative 1 0 0 1 1
268,32d24b5596d7_study,negative 1 0 0 1 1
269,32d36978749c_study,negative 1 0 0 1 1
270,334a4202e414_study,negative 1 0 0 1 1
271,3379f980e291_study,negative 1 0 0 1 1
272,337f24b92040_study,negative 1 0 0 1 1
273,33cea11fd803_study,negative 1 0 0 1 1
274,33cfd515b130_study,negative 1 0 0 1 1
275,33df7cf3b609_study,negative 1 0 0 1 1
276,33e1be3d2bae_study,negative 1 0 0 1 1
277,342624fb2b11_study,negative 1 0 0 1 1
278,343d755d7ddd_study,negative 1 0 0 1 1
279,3456c012f2a8_study,negative 1 0 0 1 1
280,3459b9abab30_study,negative 1 0 0 1 1
281,34b78006dfce_study,negative 1 0 0 1 1
282,34cfefd606be_study,negative 1 0 0 1 1
283,34e297aea58b_study,negative 1 0 0 1 1
284,34fc8c6bbfae_study,negative 1 0 0 1 1
285,35036fa47dec_study,negative 1 0 0 1 1
286,354d14a98d15_study,negative 1 0 0 1 1
287,35a8a365b5cf_study,negative 1 0 0 1 1
288,35c3971dfdf2_study,negative 1 0 0 1 1
289,35c4922b2b72_study,negative 1 0 0 1 1
290,364b50a7e35a_study,negative 1 0 0 1 1
291,36623c43469f_study,negative 1 0 0 1 1
292,3674dc34094e_study,negative 1 0 0 1 1
293,36fabb793a4b_study,negative 1 0 0 1 1
294,373876fd24c8_study,negative 1 0 0 1 1
295,3745c672078c_study,negative 1 0 0 1 1
296,37b217b51279_study,negative 1 0 0 1 1
297,37b438e85030_study,negative 1 0 0 1 1
298,37e448215647_study,negative 1 0 0 1 1
299,37fc5147ab39_study,negative 1 0 0 1 1
300,3848b7af690f_study,negative 1 0 0 1 1
301,38dd9e92f0d0_study,negative 1 0 0 1 1
302,394e0e1481e9_study,negative 1 0 0 1 1
303,3997db0588ee_study,negative 1 0 0 1 1
304,39a02fb99c60_study,negative 1 0 0 1 1
305,3a02eb0ad5f0_study,negative 1 0 0 1 1
306,3a04a4cbbe0f_study,negative 1 0 0 1 1
307,3a1402e40308_study,negative 1 0 0 1 1
308,3aac75b8f284_study,negative 1 0 0 1 1
309,3af8cf394eaa_study,negative 1 0 0 1 1
310,3afd951b907a_study,negative 1 0 0 1 1
311,3b75f6371910_study,negative 1 0 0 1 1
312,3bc2eec8d9b6_study,negative 1 0 0 1 1
313,3bd22742cef2_study,negative 1 0 0 1 1
314,3bdfb239eeaa_study,negative 1 0 0 1 1
315,3be961dff18a_study,negative 1 0 0 1 1
316,3c17fa476f85_study,negative 1 0 0 1 1
317,3c214bbb0547_study,negative 1 0 0 1 1
318,3c46f027da8c_study,negative 1 0 0 1 1
319,3c4848aecb76_study,negative 1 0 0 1 1
320,3c5cb14e548f_study,negative 1 0 0 1 1
321,3c5de6b3939b_study,negative 1 0 0 1 1
322,3c7b3b27ae98_study,negative 1 0 0 1 1
323,3ca544da198b_study,negative 1 0 0 1 1
324,3d3ad20f3435_study,negative 1 0 0 1 1
325,3d9c9daa3178_study,negative 1 0 0 1 1
326,3da0dc1f68ed_study,negative 1 0 0 1 1
327,3e300ac96c98_study,negative 1 0 0 1 1
328,3e5052f6edc9_study,negative 1 0 0 1 1
329,3e5b5906bc1d_study,negative 1 0 0 1 1
330,3e5f0fae3649_study,negative 1 0 0 1 1
331,3e69bb4cfeb4_study,negative 1 0 0 1 1
332,3f0b1b5976e8_study,negative 1 0 0 1 1
333,3f3a09fedfba_study,negative 1 0 0 1 1
334,3f8d8daf5eda_study,negative 1 0 0 1 1
335,3fa81e73dcfd_study,negative 1 0 0 1 1
336,3fb4aafae1d0_study,negative 1 0 0 1 1
337,4019c1fe14bf_study,negative 1 0 0 1 1
338,4048c25c7ef0_study,negative 1 0 0 1 1
339,408679472ef6_study,negative 1 0 0 1 1
340,40af0e78e972_study,negative 1 0 0 1 1
341,411cfa759a2c_study,negative 1 0 0 1 1
342,41429b19d479_study,negative 1 0 0 1 1
343,416fb9b31385_study,negative 1 0 0 1 1
344,418be6346093_study,negative 1 0 0 1 1
345,420aecd56033_study,negative 1 0 0 1 1
346,423ee88658a0_study,negative 1 0 0 1 1
347,4252e9b23d04_study,negative 1 0 0 1 1
348,4269acadeebc_study,negative 1 0 0 1 1
349,42ad262ec9f1_study,negative 1 0 0 1 1
350,42bab681437d_study,negative 1 0 0 1 1
351,42d73bc891e1_study,negative 1 0 0 1 1
352,431ebffa3b24_study,negative 1 0 0 1 1
353,4349fdb4ea03_study,negative 1 0 0 1 1
354,436a560afe62_study,negative 1 0 0 1 1
355,439840f0770f_study,negative 1 0 0 1 1
356,43d60e93cbf3_study,negative 1 0 0 1 1
357,44115fd3174b_study,negative 1 0 0 1 1
358,442bd0085586_study,negative 1 0 0 1 1
359,444d139efc93_study,negative 1 0 0 1 1
360,449805191715_study,negative 1 0 0 1 1
361,4530b0ca0c8f_study,negative 1 0 0 1 1
362,45a75e62f53e_study,negative 1 0 0 1 1
363,45e65e76f35b_study,negative 1 0 0 1 1
364,4645169e41f1_study,negative 1 0 0 1 1
365,466f38a39d33_study,negative 1 0 0 1 1
366,4692315d67f9_study,negative 1 0 0 1 1
367,46f330e7df31_study,negative 1 0 0 1 1
368,47a9f63bf953_study,negative 1 0 0 1 1
369,47fcb7fc49b4_study,negative 1 0 0 1 1
370,482f2d224527_study,negative 1 0 0 1 1
371,4831aac65647_study,negative 1 0 0 1 1
372,48607ea71306_study,negative 1 0 0 1 1
373,4894244507de_study,negative 1 0 0 1 1
374,48d36324c0fc_study,negative 1 0 0 1 1
375,4916eadc694d_study,negative 1 0 0 1 1
376,492159ddba17_study,negative 1 0 0 1 1
377,49648f2a8c51_study,negative 1 0 0 1 1
378,4974db1937a3_study,negative 1 0 0 1 1
379,4996bf5117c7_study,negative 1 0 0 1 1
380,49b4180be546_study,negative 1 0 0 1 1
381,4a27dab6f704_study,negative 1 0 0 1 1
382,4a4334902cd0_study,negative 1 0 0 1 1
383,4a466be6275b_study,negative 1 0 0 1 1
384,4acb2c6bae62_study,negative 1 0 0 1 1
385,4ae05ce074ad_study,negative 1 0 0 1 1
386,4b4e09317bc8_study,negative 1 0 0 1 1
387,4c2813caa0fb_study,negative 1 0 0 1 1
388,4c7af4bdfbb2_study,negative 1 0 0 1 1
389,4c8a23708cf3_study,negative 1 0 0 1 1
390,4cb59fb01420_study,negative 1 0 0 1 1
391,4cbdd2d5ca8f_study,negative 1 0 0 1 1
392,4cc67741b7be_study,negative 1 0 0 1 1
393,4d10b356cb2b_study,negative 1 0 0 1 1
394,4d1347d7d63e_study,negative 1 0 0 1 1
395,4d5b70ca0c23_study,negative 1 0 0 1 1
396,4dee79301687_study,negative 1 0 0 1 1
397,4e4ee0341fab_study,negative 1 0 0 1 1
398,4ecd8728c643_study,negative 1 0 0 1 1
399,4ede1ea5de26_study,negative 1 0 0 1 1
400,4ee42fdc7d39_study,negative 1 0 0 1 1
401,4f2795c6c431_study,negative 1 0 0 1 1
402,4f3bd784d1bf_study,negative 1 0 0 1 1
403,4f693f6cf408_study,negative 1 0 0 1 1
404,4f9c9296104b_study,negative 1 0 0 1 1
405,4fa25a4ab48b_study,negative 1 0 0 1 1
406,4fdb1658707b_study,negative 1 0 0 1 1
407,500d963baa00_study,negative 1 0 0 1 1
408,504cf4d936de_study,negative 1 0 0 1 1
409,50501d03ea2a_study,negative 1 0 0 1 1
410,505b1f7bbbf4_study,negative 1 0 0 1 1
411,50a27d21b5c5_study,negative 1 0 0 1 1
412,51160c75a305_study,negative 1 0 0 1 1
413,513506120b3e_study,negative 1 0 0 1 1
414,514c5133572d_study,negative 1 0 0 1 1
415,51f1367f7d9c_study,negative 1 0 0 1 1
416,52466d50101e_study,negative 1 0 0 1 1
417,525e881d45da_study,negative 1 0 0 1 1
418,52950e68ba64_study,negative 1 0 0 1 1
419,529b4311adb6_study,negative 1 0 0 1 1
420,52e603bf575f_study,negative 1 0 0 1 1
421,531912276b32_study,negative 1 0 0 1 1
422,531aa20ff7c3_study,negative 1 0 0 1 1
423,53e7a0aa4022_study,negative 1 0 0 1 1
424,5461386157ed_study,negative 1 0 0 1 1
425,5462f84903c3_study,negative 1 0 0 1 1
426,5473b7261b97_study,negative 1 0 0 1 1
427,54ab1c9162d3_study,negative 1 0 0 1 1
428,54cea7959efa_study,negative 1 0 0 1 1
429,54dc0eb52a0a_study,negative 1 0 0 1 1
430,5527c97636a9_study,negative 1 0 0 1 1
431,5566d3f34fbb_study,negative 1 0 0 1 1
432,556ac9754637_study,negative 1 0 0 1 1
433,556ed339d8a7_study,negative 1 0 0 1 1
434,55f2e8f96a24_study,negative 1 0 0 1 1
435,55ffd8d1a60a_study,negative 1 0 0 1 1
436,56149fff7475_study,negative 1 0 0 1 1
437,562bda48ad02_study,negative 1 0 0 1 1
438,566a2983842a_study,negative 1 0 0 1 1
439,566ce9e55829_study,negative 1 0 0 1 1
440,56b339277951_study,negative 1 0 0 1 1
441,5702713aeac0_study,negative 1 0 0 1 1
442,57118f0c7115_study,negative 1 0 0 1 1
443,57195fc6fe41_study,negative 1 0 0 1 1
444,572fa8640acc_study,negative 1 0 0 1 1
445,5764dee0ac43_study,negative 1 0 0 1 1
446,579a4dfc64a2_study,negative 1 0 0 1 1
447,57b682c96f90_study,negative 1 0 0 1 1
448,57dad1ccc875_study,negative 1 0 0 1 1
449,57e2c6e368f2_study,negative 1 0 0 1 1
450,582f1d954423_study,negative 1 0 0 1 1
451,588f2c4a8983_study,negative 1 0 0 1 1
452,58d5f7145d50_study,negative 1 0 0 1 1
453,593c3f815635_study,negative 1 0 0 1 1
454,5956ba4a4433_study,negative 1 0 0 1 1
455,5965818fa0e7_study,negative 1 0 0 1 1
456,59834dbc2b91_study,negative 1 0 0 1 1
457,5990b940ec49_study,negative 1 0 0 1 1
458,5a74a91d9877_study,negative 1 0 0 1 1
459,5a7b49158f30_study,negative 1 0 0 1 1
460,5a9b482fce1f_study,negative 1 0 0 1 1
461,5acd25132041_study,negative 1 0 0 1 1
462,5ae19539344f_study,negative 1 0 0 1 1
463,5b42cb9ee77b_study,negative 1 0 0 1 1
464,5b4a49693706_study,negative 1 0 0 1 1
465,5be3004f3c87_study,negative 1 0 0 1 1
466,5bf4446c7cea_study,negative 1 0 0 1 1
467,5cb07dad2ba7_study,negative 1 0 0 1 1
468,5cd8e9cd57f4_study,negative 1 0 0 1 1
469,5cecf76081cc_study,negative 1 0 0 1 1
470,5d2582cd935e_study,negative 1 0 0 1 1
471,5d6a3bfece97_study,negative 1 0 0 1 1
472,5d71a4f40898_study,negative 1 0 0 1 1
473,5d9ff25b7960_study,negative 1 0 0 1 1
474,5dc5caf41360_study,negative 1 0 0 1 1
475,5de32bda4c7a_study,negative 1 0 0 1 1
476,5defaf7b006e_study,negative 1 0 0 1 1
477,5e656faf76ea_study,negative 1 0 0 1 1
478,5e729ae9ae3c_study,negative 1 0 0 1 1
479,5e99801f484c_study,negative 1 0 0 1 1
480,5ed4ac4c2302_study,negative 1 0 0 1 1
481,5f04f4c0fa68_study,negative 1 0 0 1 1
482,5f0e6a9f6f6d_study,negative 1 0 0 1 1
483,5f14606437b6_study,negative 1 0 0 1 1
484,5f46958edec1_study,negative 1 0 0 1 1
485,5f6bd96b250b_study,negative 1 0 0 1 1
486,5f8b1e975bdf_study,negative 1 0 0 1 1
487,5fec26943d57_study,negative 1 0 0 1 1
488,60a72f493074_study,negative 1 0 0 1 1
489,611415679b0b_study,negative 1 0 0 1 1
490,6117058c3931_study,negative 1 0 0 1 1
491,616f2fcba772_study,negative 1 0 0 1 1
492,61bc50228c92_study,negative 1 0 0 1 1
493,61cab278c091_study,negative 1 0 0 1 1
494,622f5b348f80_study,negative 1 0 0 1 1
495,62659a70b6d2_study,negative 1 0 0 1 1
496,6267862574f2_study,negative 1 0 0 1 1
497,62912425183c_study,negative 1 0 0 1 1
498,62a423696785_study,negative 1 0 0 1 1
499,635b0ef5b3b9_study,negative 1 0 0 1 1
500,635c78729d10_study,negative 1 0 0 1 1
501,6386d34fe45f_study,negative 1 0 0 1 1
502,63946400d861_study,negative 1 0 0 1 1
503,63ba2f6870f1_study,negative 1 0 0 1 1
504,64047404bb75_study,negative 1 0 0 1 1
505,64068f878d2b_study,negative 1 0 0 1 1
506,640e92dc7aa9_study,negative 1 0 0 1 1
507,644ae1050800_study,negative 1 0 0 1 1
508,64729a1c868e_study,negative 1 0 0 1 1
509,6475a5f7bd09_study,negative 1 0 0 1 1
510,6484393291ea_study,negative 1 0 0 1 1
511,6515b912dc6b_study,negative 1 0 0 1 1
512,655eaa76e116_study,negative 1 0 0 1 1
513,66300f02d92a_study,negative 1 0 0 1 1
514,665aa3146373_study,negative 1 0 0 1 1
515,6677129718eb_study,negative 1 0 0 1 1
516,667eb7504965_study,negative 1 0 0 1 1
517,66844043bb82_study,negative 1 0 0 1 1
518,66d364215c35_study,negative 1 0 0 1 1
519,677ad87244f5_study,negative 1 0 0 1 1
520,67b808cc8cfc_study,negative 1 0 0 1 1
521,67c5a09a1950_study,negative 1 0 0 1 1
522,68d002822185_study,negative 1 0 0 1 1
523,68d273e07961_study,negative 1 0 0 1 1
524,690a42c7eded_study,negative 1 0 0 1 1
525,694432509c27_study,negative 1 0 0 1 1
526,6951842a2430_study,negative 1 0 0 1 1
527,6958d88e7d72_study,negative 1 0 0 1 1
528,6958fb143029_study,negative 1 0 0 1 1
529,69fc686a4321_study,negative 1 0 0 1 1
530,6a7ebacd5830_study,negative 1 0 0 1 1
531,6ab8658d127c_study,negative 1 0 0 1 1
532,6b28f1d59cb3_study,negative 1 0 0 1 1
533,6b8a59647e54_study,negative 1 0 0 1 1
534,6b9a744fb067_study,negative 1 0 0 1 1
535,6ba2dee3517c_study,negative 1 0 0 1 1
536,6bbe6a05947d_study,negative 1 0 0 1 1
537,6bd8ee85ab15_study,negative 1 0 0 1 1
538,6c4b79292e1b_study,negative 1 0 0 1 1
539,6d9aa96e6350_study,negative 1 0 0 1 1
540,6da6b1e0a269_study,negative 1 0 0 1 1
